billionaire_id,display_name,net_worth,country,wealth_rank,age,residence,citizenship,children,is_self_made,geometry,first_name,middle_name,last_name,suffix,city_of_residence,state_of_residence,longitude,latitude
92,Lui Che Woo,19.4,Hong Kong,93,92.0,"Hong Kong, Hong Kong",Hong Kong,5.0,True,POINT (114.1628131 22.2793278),Lui,Che,Woo,,Hong Kong,,114.1628131,22.2793278
93,Emmanuel Besnier,19.1,France,94,50.0,"Laval, France",France,,False,POINT (-0.7723499 48.0710377),Emmanuel,,Besnier,,Laval,,-0.7723499,48.0710377
94,Laurene Powell Jobs,19.0,United States,95,57.0,"Palo Alto, California",United States,3.0,False,POINT (-122.1598465 37.4443293),Laurene,Powell,Jobs,,Palo Alto,California,-122.1598465,37.4443293
95,Eric Schmidt,18.9,United States,96,66.0,"Atherton, California",United States,2.0,True,POINT (-122.2058272 37.453773),Eric,,Schmidt,,Atherton,California,-122.2058272,37.453773
96,Sun Piaoyang,18.9,China,96,62.0,"Lianyungang, China",China,1.0,True,POINT (119.215813 34.5978596),Sun,,Piaoyang,,Lianyungang,,119.215813,34.5978596
97,"Theo Albrecht, Jr.",18.8,Germany,98,70.0,"Mulheim an der Ruhr, Germany",Germany,1.0,False,POINT (6.8829192 51.4272925),Theo,,Albrecht,Jr.,Mulheim an der Ruhr,,6.8829192,51.4272925
98,Alisher Usmanov,18.4,Russia,99,67.0,"Moscow, Russia",Russia,,True,POINT (37.6174943 55.7504461),Alisher,,Usmanov,,Moscow,,37.6174943,55.7504461
99,Robert Pera,18.3,United States,100,43.0,"San Jose, California",United States,,True,POINT (-121.890583 37.3361905),Robert,,Pera,,San Jose,California,-121.890583,37.3361905
100,Wu Yajun,18.3,China,100,57.0,"Beijing, China",China,1.0,True,POINT (116.3912757 39.906217),Wu,,Yajun,,Beijing,,116.3912757,39.906217
101,Fan Hongwei,18.2,China,102,54.0,"Wujiang, China",China,,True,POINT (120.6406744 31.1415158),Fan,,Hongwei,,Wujiang,,120.6406744,31.1415158
